[SERVER] Radi na http://localhost:8080
[INFO] 2026-06-10T14:04:29.304Z | filteri: laplacian | vreme: 263ms
[INFO] 2026-06-10T14:04:29.695Z | filteri: laplacian | vreme: 280ms
[INFO] 2026-06-10T14:04:30.078Z | filteri: swirl | vreme: 314ms
[INFO] 2026-06-10T14:04:30.518Z | filteri: swirl | vreme: 308ms
[INFO] 2026-06-10T14:04:30.951Z | filteri: swirl | vreme: 307ms
[INFO] 2026-06-10T14:04:31.397Z | filteri: swirl | vreme: 310ms
[INFO] 2026-06-10T14:04:31.862Z | filteri: swirl | vreme: 274ms
[INFO] 2026-06-10T14:04:32.263Z | filteri: swirl | vreme: 324ms
[INFO] 2026-06-10T14:04:32.725Z | filteri: swirl | vreme: 292ms
[INFO] 2026-06-10T14:04:33.148Z | filteri: swirl | vreme: 278ms
[INFO] 2026-06-10T14:04:33.527Z | filteri: swirl | vreme: 311ms
[INFO] 2026-06-10T14:04:33.959Z | filteri: swirl | vreme: 267ms
[INFO] 2026-06-10T14:04:34.352Z | filteri: colorizegrayscale | vreme: 273ms
[INFO] 2026-06-10T14:04:34.742Z | filteri: colorizegrayscale | vreme: 246ms
[INFO] 2026-06-10T14:04:35.124Z | filteri: colorizegrayscale | vreme: 269ms
[INFO] 2026-06-10T14:04:35.520Z | filteri: colorizegrayscale | vreme: 285ms
[INFO] 2026-06-10T14:04:35.934Z | filteri: colorizegrayscale | vreme: 246ms
[INFO] 2026-06-10T14:04:36.288Z | filteri: colorizegrayscale | vreme: 267ms
[INFO] 2026-06-10T14:04:36.687Z | filteri: colorizegrayscale | vreme: 257ms
[INFO] 2026-06-10T14:04:37.076Z | filteri: colorizegrayscale | vreme: 248ms
[INFO] 2026-06-10T14:04:37.430Z | filteri: colorizegrayscale | vreme: 289ms
[INFO] 2026-06-10T14:04:37.845Z | filteri: colorizegrayscale | vreme: 260ms
[INFO] 2026-06-10T14:04:38.212Z | filteri: edge_detector | vreme: 260ms
[INFO] 2026-06-10T14:04:38.597Z | filteri: edge_detector | vreme: 246ms
[INFO] 2026-06-10T14:04:38.949Z | filteri: edge_detector | vreme: 279ms
[INFO] 2026-06-10T14:04:39.339Z | filteri: edge_detector | vreme: 254ms
[INFO] 2026-06-10T14:04:39.689Z | filteri: edge_detector | vreme: 251ms
[INFO] 2026-06-10T14:04:40.050Z | filteri: edge_detector | vreme: 268ms
[INFO] 2026-06-10T14:04:40.435Z | filteri: edge_detector | vreme: 272ms
[INFO] 2026-06-10T14:04:40.824Z | filteri: edge_detector | vreme: 288ms
[INFO] 2026-06-10T14:04:41.237Z | filteri: edge_detector | vreme: 283ms
[INFO] 2026-06-10T14:04:41.653Z | filteri: edge_detector | vreme: 281ms
[INFO] 2026-06-10T14:04:42.073Z | filteri: flip_vertical | vreme: 286ms
[INFO] 2026-06-10T14:04:42.483Z | filteri: flip_vertical | vreme: 281ms
[INFO] 2026-06-10T14:04:42.874Z | filteri: flip_vertical | vreme: 290ms
